# MJD - 55920            Delay (s)    Scope/Freq  Err(us)
  46.018126206035959    69.35798106      GBT820   3.700
  46.018471817267709    69.35979415      GBT820   2.740
  46.018817396849045    69.36160475      GBT820   3.500
  46.019163007935276    69.36340491      GBT820   2.500
  46.019508619188855    69.36521980      GBT820   3.530
  46.019854230376950    69.36702893      GBT820   2.550
  46.020199841535941    69.36883557      GBT820   2.960
  46.020545452694932    69.37064219      GBT820   2.810
  46.020891063912131    69.37245379      GBT820   3.330
  46.021236675056571    69.37425887      GBT820   2.840
  46.021582254674286    69.37607306      GBT820   2.860
  46.021927865920588    69.37788727      GBT820   2.870
  46.022273477050476    69.37969096      GBT820   3.070
  46.022619088296779    69.38150509      GBT820   3.130
  46.022964699412114    69.38330793      GBT820   2.440
  46.023310310592933    69.38511661      GBT820   2.670
  46.023655921817408    69.38692870      GBT820   2.830
  46.024001533020055    69.38873895      GBT820   2.600
  46.024347112608666    69.39055007      GBT820   3.090
  46.024692723840417    69.39236328      GBT820   3.200
  46.025038334963028    69.39416647      GBT820   3.210
  46.025383946158399    69.39597640      GBT820   2.840
  46.025729557433806    69.39779311      GBT820   2.840
  46.026075168592797    69.39959916      GBT820   2.880
  46.026420779766340    69.40140719      GBT820   2.850
  46.026766359391331    69.40322169      GBT820   3.240
  46.027111970593978    69.40503198      GBT820   2.410
  46.027457581774797    69.40684045      GBT820   2.930
  59.905883373190591    74.17564170      GBT350   6.390
  59.906318287547037    74.17368067      GBT350   7.300
  59.906753201743413    74.17170641      GBT350   6.230
  59.907188116027100    74.16973967      GBT350   6.270
  59.907623061801132    74.16776153      GBT350   6.950
  59.908057976237615    74.16580778      GBT350   7.420
  59.908492890557682    74.16384434      GBT350   7.370
  59.908927804797713    74.16187346      GBT350   8.050
  59.909362719263299    74.15992241      GBT350   6.950
  59.909797665117367    74.15795074      GBT350   7.620
  59.910232579335570    74.15597834      GBT350   6.970
  59.910667493597430    74.15400950      GBT350   6.810
  59.911102407961152    74.15204967      GBT350   7.080
  59.911537353960739    74.15009103      GBT350   7.900
  59.911972268237150    74.14812350      GBT350   6.110
  60.844354611901508    75.07141129      GBT350   5.720
  60.844789537877659    75.07318735      GBT350   5.410
  60.845224463831983    75.07496155      GBT350   5.180
  60.845659389597131    75.07671939      GBT350   6.940
  60.846094283966522    75.07849718      GBT350   6.490
